,0,1,2
0,1,"{'TAE': 14997.556215272722, 'RMSE': 598.6047577362731, 'MAPE': 0.10405162358408065, 'AIC': np.float64(14089.266255337141), 'BIC': np.float64(14247.450637712282)}","2015-06-20    4195.081759
2015-06-21    -653.558204
2015-06-22    3859.639607
2015-06-23    3348.483798
2015-06-24    3138.107105
2015-06-25    3170.690905
2015-06-26    3323.794149
2015-06-27    4206.748888
2015-06-28    -745.536581
2015-06-29    4988.154576
2015-06-30    4496.993344
2015-07-01    4369.976308
2015-07-02    4322.986295
2015-07-03    4553.543131
2015-07-04    4199.247729
2015-07-05    -766.504736
2015-07-06    3772.894861
2015-07-07    3284.331589
2015-07-08    3168.145745
2015-07-09    3110.816448
2015-07-10    3351.437081
2015-07-11    4189.255973
2015-07-12    -778.246304
2015-07-13    4958.849336
2015-07-14    4470.623626
2015-07-15    4355.845113
2015-07-16    4297.172399
2015-07-17    4539.100654
2015-07-18    4178.940605
2015-07-19    -788.789030
2015-07-20    3751.052923
2015-07-21    3262.871073
2015-07-22    3148.275419
2015-07-23    3089.428151
2015-07-24    3331.526310
2015-07-25    4168.583189
2015-07-26    -799.175987
2015-07-27    4937.977129
2015-07-28    4449.800978
2015-07-29    4335.229084
2015-07-30    4276.359135
2015-07-31    4518.479370
Freq: D, Name: predicted_mean, dtype: float64"
1,2,"{'TAE': 5073.978906719858, 'RMSE': 769.1670971232728, 'MAPE': 0.10909668193494952, 'AIC': np.float64(14363.809901783672), 'BIC': np.float64(14521.994284158813)}","2015-06-20    2713.715426
2015-06-21    -178.553546
2015-06-22    4830.887158
2015-06-23    4323.815833
2015-06-24    4627.511684
2015-06-25    3858.531480
2015-06-26    3549.523270
2015-06-27    2799.361722
2015-06-28    -152.739426
2015-06-29    6868.758470
2015-06-30    6270.073958
2015-07-01    6598.031059
2015-07-02    5763.303120
2015-07-03    5459.592278
2015-07-04    2789.883932
2015-07-05    -158.293228
2015-07-06    4907.589322
2015-07-07    4314.913902
2015-07-08    4641.279652
2015-07-09    3810.864250
2015-07-10    3506.805942
2015-07-11    2786.644885
2015-07-12    -161.789658
2015-07-13    6856.005996
2015-07-14    6262.936427
2015-07-15    6589.406556
2015-07-16    5758.708286
2015-07-17    5454.672769
2015-07-18    2782.996625
2015-07-19    -165.421035
2015-07-20    4900.704352
2015-07-21    4307.660636
2015-07-22    4634.123919
2015-07-23    3803.444203
2015-07-24    3499.407191
2015-07-25    2779.375206
2015-07-26    -169.043562
2015-07-27    6848.736164
2015-07-28    6255.690752
2015-07-29    6582.154484
2015-07-30    5751.473551
2015-07-31    5447.436636
Freq: D, Name: predicted_mean, dtype: float64"
2,3,"{'TAE': 4351.0686620892375, 'RMSE': 917.9258830216809, 'MAPE': 0.09788557447762809, 'AIC': np.float64(15034.330745194811), 'BIC': np.float64(15192.515127569952)}","2015-06-20    4548.295291
2015-06-21      90.292627
2015-06-22    6718.031945
2015-06-23    6045.293487
2015-06-24    5621.743421
2015-06-25    5504.747867
2015-06-26    5731.724213
2015-06-27    4586.937735
2015-06-28      85.845180
2015-06-29    9798.771766
2015-06-30    9106.704338
2015-07-01    8639.292179
2015-07-02    8476.460200
2015-07-03    8719.770132
2015-07-04    4583.496130
2015-07-05      84.673766
2015-07-06    6769.008408
2015-07-07    6077.959328
2015-07-08    5612.858043
2015-07-09    5452.440956
2015-07-10    5694.890353
2015-07-11    4582.271723
2015-07-12      83.329754
2015-07-13    9793.274615
2015-07-14    9102.171883
2015-07-15    8636.948849
2015-07-16    8476.404534
2015-07-17    8718.899269
2015-07-18    4580.930503
2015-07-19      81.994836
2015-07-20    6766.486570
2015-07-21    6075.386664
2015-07-22    5610.170045
2015-07-23    5449.632433
2015-07-24    5692.124779
2015-07-25    4579.595437
2015-07-26      80.659438
2015-07-27    9790.596022
2015-07-28    9099.495968
2015-07-29    8634.279011
2015-07-30    8473.741046
2015-07-31    8716.233517
Freq: D, Name: predicted_mean, dtype: float64"
3,4,"{'TAE': 1297.4020499651087, 'RMSE': 903.1423060562478, 'MAPE': 0.0774303780567864, 'AIC': np.float64(15358.993096151347), 'BIC': np.float64(15517.177478526488)}","2015-06-20     9883.623837
2015-06-21      -82.666672
2015-06-22     9842.955332
2015-06-23     8478.673925
2015-06-24     7903.349816
2015-06-25     8090.079570
2015-06-26     8447.651769
2015-06-27    10468.265606
2015-06-28      187.640719
2015-06-29    12249.055647
2015-06-30    10872.090475
2015-07-01    10326.831565
2015-07-02    10652.312583
2015-07-03    10931.023283
2015-07-04    10568.792643
2015-07-05      236.732443
2015-07-06     9967.584656
2015-07-07     8588.123667
2015-07-08     8047.338533
2015-07-09     8394.491796
2015-07-10     8660.753910
2015-07-11    10589.230415
2015-07-12      249.075772
2015-07-13    12278.870390
2015-07-14    10899.013715
2015-07-15    10358.929532
2015-07-16    10709.486225
2015-07-17    10973.792451
2015-07-18    10597.058382
2015-07-19      255.632140
2015-07-20     9981.509959
2015-07-21     8601.591103
2015-07-22     8061.617014
2015-07-23     8412.708318
2015-07-24     8676.707305
2015-07-25    10602.905363
2015-07-26      261.279375
2015-07-27    12290.292551
2015-07-28    10910.363927
2015-07-29    10370.407132
2015-07-30    10721.582414
2015-07-31    10985.533139
Freq: D, Name: predicted_mean, dtype: float64"
4,5,"{'TAE': 4836.545721486822, 'RMSE': 541.7219685452553, 'MAPE': 0.09672033905443238, 'AIC': np.float64(14429.8325272553), 'BIC': np.float64(14588.01690963044)}","2015-06-20    2087.136476
2015-06-21     -73.659052
2015-06-22    4872.029139
2015-06-23    4032.272398
2015-06-24    4032.204432
2015-06-25    3683.974122
2015-06-26    3754.007460
2015-06-27    2104.098304
2015-06-28     -64.466734
2015-06-29    7079.102944
2015-06-30    6162.771117
2015-07-01    6072.939793
2015-07-02    5679.989582
2015-07-03    5839.128666
2015-07-04    2100.343514
2015-07-05     -67.255937
2015-07-06    4959.607565
2015-07-07    4052.792727
2015-07-08    3974.117474
2015-07-09    3586.725191
2015-07-10    3734.789935
2015-07-11    2099.163412
2015-07-12     -68.556045
2015-07-13    7064.924908
2015-07-14    6156.927269
2015-07-15    6076.865504
2015-07-16    5688.782465
2015-07-17    5838.223563
2015-07-18    2097.663320
2015-07-19     -70.041222
2015-07-20    4958.076138
2015-07-21    4050.225501
2015-07-22    3970.336057
2015-07-23    3582.338866
2015-07-24    3731.608907
2015-07-25    2096.202997
2015-07-26     -71.503398
2015-07-27    7061.821721
2015-07-28    6153.952814
2015-07-29    6074.041953
2015-07-30    5686.034093
2015-07-31    5835.325393
Freq: D, Name: predicted_mean, dtype: float64"
5,6,"{'TAE': 874.1443944633647, 'RMSE': 535.2509215632618, 'MAPE': 0.08501272078013175, 'AIC': np.float64(14291.64763697885), 'BIC': np.float64(14449.832019353991)}","2015-06-20    2860.821451
2015-06-21    -406.344194
2015-06-22    4847.120449
2015-06-23    3990.682343
2015-06-24    3888.473673
2015-06-25    3849.717987
2015-06-26    3889.464941
2015-06-27    2822.560763
2015-06-28    -435.589779
2015-06-29    6342.276357
2015-06-30    5478.405557
2015-07-01    5367.516950
2015-07-02    5318.173161
2015-07-03    5373.532795
2015-07-04    2787.903396
2015-07-05    -470.385236
2015-07-06    4788.937542
2015-07-07    3925.180594
2015-07-08    3814.424944
2015-07-09    3765.243341
2015-07-10    3820.363824
2015-07-11    2753.190835
2015-07-12    -505.095683
2015-07-13    6272.680720
2015-07-14    5408.922028
2015-07-15    5298.164342
2015-07-16    5248.980255
2015-07-17    5304.104400
2015-07-18    2718.479119
2015-07-19    -539.807431
2015-07-20    4719.516722
2015-07-21    3855.758056
2015-07-22    3745.000402
2015-07-23    3695.816353
2015-07-24    3750.940442
2015-07-25    2683.767390
2015-07-26    -574.519159
2015-07-27    6203.257222
2015-07-28    5339.498556
2015-07-29    5228.740901
2015-07-30    5179.556851
2015-07-31    5234.680942
Freq: D, Name: predicted_mean, dtype: float64"
6,7,"{'TAE': 50824.31177492131, 'RMSE': 1778.7818861813587, 'MAPE': 0.14282021042117055, 'AIC': np.float64(15388.538559066368), 'BIC': np.float64(15546.722941441509)}","2015-06-20     6012.560205
2015-06-21     -429.924574
2015-06-22     9007.917540
2015-06-23     8178.389262
2015-06-24     6761.123903
2015-06-25     6989.421229
2015-06-26     7698.776695
2015-06-27     6063.418257
2015-06-28     -432.373679
2015-06-29    11509.216301
2015-06-30    10670.674488
2015-07-01     9248.488601
2015-07-02     9474.578558
2015-07-03    10184.021577
2015-07-04     6051.011522
2015-07-05     -444.407435
2015-07-06     8996.209782
2015-07-07     8157.731037
2015-07-08     6735.579579
2015-07-09     6961.684981
2015-07-10     7671.127387
2015-07-11     6039.047438
2015-07-12     -456.374128
2015-07-13    11485.196432
2015-07-14    10646.717246
2015-07-15     9224.565548
2015-07-16     9450.670841
2015-07-17    10160.113252
2015-07-18     6027.080257
2015-07-19     -468.341291
2015-07-20     8972.276062
2015-07-21     8133.796878
2015-07-22     6711.645182
2015-07-23     6937.750476
2015-07-24     7647.192887
2015-07-25     6015.113098
2015-07-26     -480.308450
2015-07-27    11461.262109
2015-07-28    10622.782926
2015-07-29     9200.631229
2015-07-30     9426.736524
2015-07-31    10136.178934
Freq: D, Name: predicted_mean, dtype: float64"
7,8,"{'TAE': 4219.287334967783, 'RMSE': 676.523612329187, 'MAPE': 0.07768768141025041, 'AIC': np.float64(14250.23028528829), 'BIC': np.float64(14408.41466766343)}","2015-06-20    3700.112652
2015-06-21     -32.126429
2015-06-22    6512.942605
2015-06-23    5607.895015
2015-06-24    5016.292966
2015-06-25    6133.408089
2015-06-26    4725.064788
2015-06-27    3639.930449
2015-06-28     -27.381425
2015-06-29    9051.342250
2015-06-30    7994.865031
2015-07-01    7393.089288
2015-07-02    8143.059528
2015-07-03    6940.860972
2015-07-04    3651.268172
2015-07-05     -31.264608
2015-07-06    6715.024704
2015-07-07    5694.047183
2015-07-08    5094.656463
2015-07-09    5930.696601
2015-07-10    4680.171464
2015-07-11    3645.839455
2015-07-12     -33.125083
2015-07-13    8998.426455
2015-07-14    7969.126728
2015-07-15    7369.176887
2015-07-16    8185.039629
2015-07-17    6945.843708
2015-07-18    3644.341301
2015-07-19     -35.459742
2015-07-20    6721.888151
2015-07-21    5694.539401
2015-07-22    5094.720635
2015-07-23    5915.313571
2015-07-24    4673.461738
2015-07-25    3641.921703
2015-07-26     -37.683237
2015-07-27    8991.275834
2015-07-28    7963.469716
2015-07-29    7363.620222
2015-07-30    8183.104257
2015-07-31    6941.875051
Freq: D, Name: predicted_mean, dtype: float64"
8,9,"{'TAE': 18884.067902707553, 'RMSE': 1041.941606605117, 'MAPE': 0.12545417663567804, 'AIC': np.float64(14609.200118134197), 'BIC': np.float64(14767.384500509337)}","2015-06-20     6992.543622
2015-06-21      106.175417
2015-06-22     8487.651500
2015-06-23     7044.151423
2015-06-24     6436.115782
2015-06-25     6385.053974
2015-06-26     6711.493425
2015-06-27     7170.232816
2015-06-28      195.470379
2015-06-29    10463.910834
2015-06-30     8921.764819
2015-07-01     8273.443994
2015-07-02     8228.534138
2015-07-03     8508.117567
2015-07-04     7175.373112
2015-07-05      207.597767
2015-07-06     8638.989929
2015-07-07     7104.734055
2015-07-08     6459.636089
2015-07-09     6414.232068
2015-07-10     6697.568178
2015-07-11     7194.191240
2015-07-12      225.856169
2015-07-13    10490.265711
2015-07-14     8955.377829
2015-07-15     8310.021709
2015-07-16     8264.657270
2015-07-17     8547.692791
2015-07-18     7211.913682
2015-07-19      243.623445
2015-07-20     8675.338463
2015-07-21     7140.501205
2015-07-22     6495.165763
2015-07-23     6449.798154
2015-07-24     6732.857751
2015-07-25     7229.723889
2015-07-26      261.430061
2015-07-27    10525.813742
2015-07-28     8990.972429
2015-07-29     8345.635331
2015-07-30     8300.267975
2015-07-31     8583.325644
Freq: D, Name: predicted_mean, dtype: float64"
9,10,"{'TAE': 1873.2694719469291, 'RMSE': 694.0352038030396, 'MAPE': 0.092851168126127, 'AIC': np.float64(13960.100815813083), 'BIC': np.float64(14118.285198188223)}","2015-06-20    5114.238655
2015-06-21      96.096103
2015-06-22    6100.472855
2015-06-23    5450.614264
2015-06-24    5027.772688
2015-06-25    5046.817595
2015-06-26    5329.668082
2015-06-27    5187.757534
2015-06-28      91.419238
2015-06-29    7351.913123
2015-06-30    6652.529178
2015-07-01    6236.610875
2015-07-02    6209.867605
2015-07-03    6499.581356
2015-07-04    5185.018299
2015-07-05      95.460564
2015-07-06    6155.444081
2015-07-07    5460.354611
2015-07-08    5043.835973
2015-07-09    5021.063117
2015-07-10    5310.181736
2015-07-11    5188.891608
2015-07-12      98.745912
2015-07-13    7354.417986
2015-07-14    6658.956131
2015-07-15    6242.489550
2015-07-16    6219.372409
2015-07-17    6508.542633
2015-07-18    5192.191525
2015-07-19     102.096813
2015-07-20    6162.498442
2015-07-21    5467.068877
2015-07-22    5050.597782
2015-07-23    5027.510495
2015-07-24    5316.676245
2015-07-25    5195.541163
2015-07-26     105.442030
2015-07-27    7361.077849
2015-07-28    6665.645484
2015-07-29    6249.174780
2015-07-30    6226.084904
2015-07-31    6515.251042
Freq: D, Name: predicted_mean, dtype: float64"
