Date,y_true,y_pred,Store
2015-06-08,4071,3799.811,1
2015-06-09,4102,3645.2056,1
2015-06-10,3591,3778.1,1
2015-06-11,3627,3453.5408,1
2015-06-12,3695,3916.7747,1
2015-06-13,4256,4260.9424,1
2015-06-14,0,6.103075,1
2015-06-15,5518,5491.5303,1
2015-06-16,4852,5040.4927,1
2015-06-17,4000,4545.7983,1
2015-06-18,4645,4368.063,1
2015-06-19,4202,4534.846,1
2015-06-20,4097,4299.4995,1
2015-06-21,0,-1.1210879,1
2015-06-22,3846,3869.593,1
2015-06-23,3762,3550.887,1
2015-06-24,3346,3612.7822,1
2015-06-25,3533,3454.0996,1
2015-06-26,3317,3934.5542,1
2015-06-27,4019,4334.941,1
2015-06-28,0,-1.1210879,1
2015-06-29,5197,5486.834,1
2015-06-30,5735,5224.585,1
2015-07-01,5223,5305.0005,1
2015-07-02,5558,4947.298,1
2015-07-03,4665,5238.768,1
2015-07-04,4797,4366.9775,1
2015-07-05,0,-14.081863,1
2015-07-06,4359,3848.6458,1
2015-07-07,3650,3826.6665,1
2015-07-08,3797,3663.1418,1
2015-07-09,3897,3629.0776,1
2015-07-10,3808,3918.2075,1
2015-07-11,3530,4007.2986,1
2015-07-12,0,-0.7738637,1
2015-07-13,5054,5662.598,1
2015-07-14,5042,4975.6333,1
2015-07-15,4767,4732.901,1
2015-07-16,4427,4430.31,1
2015-07-17,4852,4562.4395,1
2015-07-18,4406,4519.0474,1
2015-07-19,0,-1.1210879,1
2015-07-20,4395,3951.1082,1
2015-07-21,3558,3895.594,1
2015-07-22,3464,3583.5457,1
2015-07-23,3769,3290.5723,1
2015-07-24,3706,3866.9124,1
2015-07-25,4364,4119.916,1
2015-07-26,0,-1.1210879,1
2015-07-27,6102,5610.3,1
2015-07-28,5011,5590.74,1
2015-07-29,4782,5229.6904,1
2015-07-30,5020,4753.6655,1
2015-07-31,5263,4904.2026,1
2015-06-08,3918,4206.8843,2
2015-06-09,4097,3996.2817,2
2015-06-10,5035,5045.2944,2
2015-06-11,4240,3961.23,2
2015-06-12,3539,4179.353,2
2015-06-13,2574,2811.2244,2
2015-06-14,0,53.486305,2
2015-06-15,8106,7480.494,2
2015-06-16,6243,6730.6523,2
2015-06-17,6924,6737.5103,2
2015-06-18,5154,5273.0903,2
2015-06-19,4926,4841.036,2
2015-06-20,3020,2839.3176,2
2015-06-21,0,31.004585,2
2015-06-22,4123,3888.2468,2
2015-06-23,4094,4153.99,2
2015-06-24,4805,5015.3447,2
2015-06-25,4022,4094.824,2
2015-06-26,3953,4071.9011,2
2015-06-27,2404,2869.2476,2
2015-06-28,0,52.405846,2
2015-06-29,7961,7676.0356,2
2015-06-30,9863,7495.6475,2
2015-07-01,6431,6838.249,2
2015-07-02,6189,5646.051,2
2015-07-03,4838,5302.043,2
2015-07-04,4475,2920.8423,2
2015-07-05,0,62.408417,2
2015-07-06,4132,3929.5342,2
2015-07-07,4313,4406.138,2
2015-07-08,5676,5095.7812,2
2015-07-09,4082,4078.2664,2
2015-07-10,4384,4009.073,2
2015-07-11,2677,3239.6733,2
2015-07-12,0,44.175926,2
2015-07-13,6874,7608.1206,2
2015-07-14,6122,6801.4175,2
2015-07-15,6406,6884.0903,2
2015-07-16,5062,5497.0654,2
2015-07-17,4518,5256.1494,2
2015-07-18,3417,2816.5781,2
2015-07-19,0,32.891624,2
2015-07-20,4435,4125.2124,2
2015-07-21,3836,3911.8801,2
2015-07-22,5093,5024.208,2
2015-07-23,4108,3954.7058,2
2015-07-24,3854,3917.2559,2
2015-07-25,2512,2656.0735,2
2015-07-26,0,11.95259,2
2015-07-27,6627,7276.284,2
2015-07-28,5671,6725.2466,2
2015-07-29,6402,6778.846,2
2015-07-30,5567,5922.6567,2
2015-07-31,6064,4613.342,2
2015-06-08,6567,5821.116,3
2015-06-09,7127,5668.3726,3
2015-06-10,6440,5615.2603,3
2015-06-11,5656,5254.095,3
2015-06-12,6181,6253.8135,3
2015-06-13,4687,4264.824,3
2015-06-14,0,43.459755,3
2015-06-15,10818,9996.888,3
2015-06-16,9780,9827.74,3
2015-06-17,8524,8858.555,3
2015-06-18,7537,8273.736,3
2015-06-19,8074,7830.394,3
2015-06-20,3891,4478.252,3
2015-06-21,0,54.207268,3
2015-06-22,5840,5884.849,3
2015-06-23,6757,5719.281,3
2015-06-24,5448,5755.797,3
2015-06-25,5763,5621.884,3
